$Tomato_Root;;;;;;;;;;;
$Tomato_Root$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-31.55;a;;;;;;;;;
Fe;-33.18143;b;;;;;;;;;
P;-32.66571;b;;;;;;;;;
P/Fe;-32.72857;b;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`1`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-33.17143;a;;;;;;;;;
Fe;-34.25143;a;;;;;;;;;
P;-33.01429;a;;;;;;;;;
P/Fe;-33.68857;a;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`3`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-35.36286;ab;;;;;;;;;
Fe;-36.22286;b;;;;;;;;;
P;-35.25429;a;;;;;;;;;
P/Fe;-36.08429;ab;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-36.35571;b;;;;;;;;;
Fe;-37.02;b;;;;;;;;;
P;-35.46143;a;;;;;;;;;
P/Fe;-36.29;b;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-37.38;bc;;;;;;;;;
Fe;-37.68286;c;;;;;;;;;
P;-35.30143;a;;;;;;;;;
P/Fe;-36.47857;b;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-37.97286;c;;;;;;;;;
Fe;-37.98714;c;;;;;;;;;
P;-35.29143;a;;;;;;;;;
P/Fe;-36.58714;b;;;;;;;;;
;;;;;;;;;;;
$Tomato_Root$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-37.51429;c;;;;;;;;;
Fe;-38.14;d;;;;;;;;;
P;-35.23571;a;;;;;;;;;
P/Fe;-36.27571;b;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot;;;;;;;;;;;
$Tomato_Shoot$`0`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.16286;a;;;;;;;;;
Fe;-35.50143;b;;;;;;;;;
P;-35.63286;b;;;;;;;;;
P/Fe;-35.28429;ab;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`1`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-36.83857;ab;;;;;;;;;
Fe;-37.45;b;;;;;;;;;
P;-37.20571;ab;;;;;;;;;
P/Fe;-35.82857;a;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`3`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-38.30143;a;;;;;;;;;
Fe;-38.17286;a;;;;;;;;;
P;-38.27;a;;;;;;;;;
P/Fe;-37.84857;a;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-37.91429;b;;;;;;;;;
Fe;-38.01857;b;;;;;;;;;
P;-36.85286;a;;;;;;;;;
P/Fe;-37.18;a;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-38.74429;b;;;;;;;;;
Fe;-38.58;b;;;;;;;;;
P;-36.77714;a;;;;;;;;;
P/Fe;-37.29143;a;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`11`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-39.35429;c;;;;;;;;;
Fe;-39.03429;c;;;;;;;;;
P;-36.69143;a;;;;;;;;;
P/Fe;-37.35;b;;;;;;;;;
;;;;;;;;;;;
$Tomato_Shoot$`14`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-39.02286;b;;;;;;;;;
Fe;-39.11286;b;;;;;;;;;
P;-36.72;a;;;;;;;;;
P/Fe;-36.87286;a;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root;;;;;DAY 0;DAY 7 ;ROOT;;;;
$Cucumber_Root$`0`;;;;;-31.6453575;-34.903215;-9.30%;;;;
;Value;groups;;;-32.36357;-34.80190667;7.50%;;;;
C;-31.26429;a;;;;;;;;;
Fe;-31.51714;a;;;;;;;;;
P;-31.54;a;;;;;;;;;
P/Fe;-32.26;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-33.71571;a;;;;;;;;;
Fe;-34.04429;a;;;;;;;;;
P;-33.32286;a;;;;;;;;;
P/Fe;-33.05;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`5`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.38286;a;;;;;;;;;
Fe;-33.92429;a;;;;;;;;;
P;-34.14714;a;;;;;;;;;
P/Fe;-34.36143;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`7`;;;;;;;;;;-34.62660625;0.320833203
;Value;groups;;;;;;;;;
C;-35.20714;a;;;;;;;;;
Fe;-34.95;a;;;;;;;;;
P;-34.82286;a;;;;;;;;;
P/Fe;-34.63286;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`9`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.17714;a;;;;;;;;;
Fe;-34.36143;a;;;;;;;;;
P;-34.23286;a;;;;;;;;;
P/Fe;-34.15714;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`12`;;;;;;;;;;;
;Value;groups;;;-32.914285;-34.505;4.80%;;;;
C;-34.7;c;;;;;;;;;
Fe;-34.31;bc;;;;;;;;;
P;-32.88286;a;;;;;;;;;
P/Fe;-32.94571;ab;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Root$`14`;;;;;;;;;;;
;Value;groups;;;-32.36357;-34.65357;7.10%;;;;
C;-34.68857;b;;;;;;;;;
Fe;-34.61857;b;;;;;;;;;
P;-32.32;a;;;;;;;;;
P/Fe;-32.40714;a;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot;;;;;DAY 0;DAY 7 ;ROOT;;;;
$Cucumber_Shoot$`0`;;;;;-32.891785;-36.205355;-9.20%;;;;
;Value;groups;;;-34.21;-36.20714;5.80%;;;;
C;-32.65714;a;;;;;;;;;
Fe;-32.58571;a;;;;;;;;;
P;-32.98286;a;;;;;;;;;
P/Fe;-33.34143;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`2`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-34.65;a;;;;;;;;;
Fe;-34.78714;a;;;;;;;;;
P;-34.57571;a;;;;;;;;;
P/Fe;-34.35857;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`5`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-35.22857;a;;;;;;;;;
Fe;-35.40286;a;;;;;;;;;
P;-35.32;a;;;;;;;;;
P/Fe;-35.11286;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`7`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-36.17286;a;;;;;;;;;
Fe;-35.99714;a;;;;;;;;;
P;-35.96857;a;;;;;;;;;
P/Fe;-35.76;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`9`;;;;;;;;;;-36.20404833;0.175312464
;Value;groups;;;;;;;;;
C;-36.2;a;;;;;;;;;
Fe;-36.40857;a;;;;;;;;;
P;-36.27714;a;;;;;;;;;
P/Fe;-35.93571;a;;;;;;;;;
;;;;;;;;;;;
$Cucumber_Shoot$`12`;;;;;;;;;;;
;Value;groups;;;;;;;;;
C;-36.21286;b;;;;;;;;;
Fe;-36.13143;b;;;;;;;;;
P;-34.15286;a;;;;;;;;;
