Species_Tissue;Time;Treatment;Value
Tomato_Root;0;C;-31.37
Tomato_Root;0;C;-30.83
Tomato_Root;0;C;-32.07
Tomato_Root;0;C;-31.05
Tomato_Root;0;C;-30.62
Tomato_Root;0;C;-32.39
Tomato_Root;0;C;-32.52
Tomato_Root;0; -P;-32.8
Tomato_Root;0; -P;-32.44
Tomato_Root;0; -P;-33.68
Tomato_Root;0; -P;-33.02
Tomato_Root;0; -P;-31.9
Tomato_Root;0; -P;-32.56
Tomato_Root;0; -P;-32.26
Tomato_Root;0; -Fe;-33.53
Tomato_Root;0; -Fe;-33.04
Tomato_Root;0; -Fe;-34.05
Tomato_Root;0; -Fe;-32.87
Tomato_Root;0; -Fe;-33.38
Tomato_Root;0; -Fe;-32.33
Tomato_Root;0; -Fe;-33.07
Tomato_Root;0; -P/-Fe;-33.06
Tomato_Root;0; -P/-Fe;-32.85
Tomato_Root;0; -P/-Fe;-33.04
Tomato_Root;0; -P/-Fe;-31.24
Tomato_Root;0; -P/-Fe;-31.76
Tomato_Root;0; -P/-Fe;-33.16
Tomato_Root;0; -P/-Fe;-33.99
Tomato_Root;1;C;-33.44
Tomato_Root;1;C;-31.6
Tomato_Root;1;C;-32.53
Tomato_Root;1;C;-34.29
Tomato_Root;1;C;-33.92
Tomato_Root;1;C;-32.6
Tomato_Root;1;C;-33.82
Tomato_Root;1; -P;-32.64
Tomato_Root;1; -P;-33.49
Tomato_Root;1; -P;-32.27
Tomato_Root;1; -P;-31.68
Tomato_Root;1; -P;-33.17
Tomato_Root;1; -P;-33.93
Tomato_Root;1; -P;-33.92
Tomato_Root;1; -Fe;-34.23
Tomato_Root;1; -Fe;-33.95
Tomato_Root;1; -Fe;-34.95
Tomato_Root;1; -Fe;-34.72
Tomato_Root;1; -Fe;-33.32
Tomato_Root;1; -Fe;-33.29
Tomato_Root;1; -Fe;-35.3
Tomato_Root;1; -P/-Fe;-35.35
Tomato_Root;1; -P/-Fe;-31.55
Tomato_Root;1; -P/-Fe;-34.29
Tomato_Root;1; -P/-Fe;-34.5
Tomato_Root;1; -P/-Fe;-32.59
Tomato_Root;1; -P/-Fe;-32.43
Tomato_Root;1; -P/-Fe;-35.11
Tomato_Root;3;C;-35.27
Tomato_Root;3;C;-34.11
Tomato_Root;3;C;-35.93
Tomato_Root;3;C;-36.04
Tomato_Root;3;C;-35.44
Tomato_Root;3;C;-35.45
Tomato_Root;3;C;-35.3
Tomato_Root;3; -P;-35.16
Tomato_Root;3; -P;-35.6
Tomato_Root;3; -P;-34.36
Tomato_Root;3; -P;-35.36
Tomato_Root;3; -P;-35.89
Tomato_Root;3; -P;-35.65
Tomato_Root;3; -P;-34.76
Tomato_Root;3; -Fe;-36.42
Tomato_Root;3; -Fe;-36.78
Tomato_Root;3; -Fe;-36.13
Tomato_Root;3; -Fe;-35.78
Tomato_Root;3; -Fe;-36.4
Tomato_Root;3; -Fe;-35.96
Tomato_Root;3; -Fe;-36.09
Tomato_Root;3; -P/-Fe;-35.8
Tomato_Root;3; -P/-Fe;-36.51
Tomato_Root;3; -P/-Fe;-36.85
Tomato_Root;3; -P/-Fe;-35.14
Tomato_Root;3; -P/-Fe;-37.03
Tomato_Root;3; -P/-Fe;-36.33
Tomato_Root;3; -P/-Fe;-34.93
Tomato_Root;6;C;-36.55
Tomato_Root;6;C;-35.36
Tomato_Root;6;C;-35.73
Tomato_Root;6;C;-35.86
Tomato_Root;6;C;-37.16
Tomato_Root;6;C;-37.07
Tomato_Root;6;C;-36.76
Tomato_Root;6; -P;-36.07
Tomato_Root;6; -P;-35.1
Tomato_Root;6; -P;-35.34
Tomato_Root;6; -P;-36.38
Tomato_Root;6; -P;-34.37
Tomato_Root;6; -P;-35.3
Tomato_Root;6; -P;-35.67
Tomato_Root;6; -Fe;-37
Tomato_Root;6; -Fe;-37.08
Tomato_Root;6; -Fe;-37.13
Tomato_Root;6; -Fe;-37.05
Tomato_Root;6; -Fe;-36.58
Tomato_Root;6; -Fe;-37.05
Tomato_Root;6; -Fe;-37.25
Tomato_Root;6; -P/-Fe;-36.19
Tomato_Root;6; -P/-Fe;-36.16
Tomato_Root;6; -P/-Fe;-36.29
Tomato_Root;6; -P/-Fe;-36.25
Tomato_Root;6; -P/-Fe;-36.22
Tomato_Root;6; -P/-Fe;-36.6
