Species_Tissue;Time;Treatment;Mean;S.Err
Barley_Root;0;C;-27.37;0.13
Barley_Root;2;C;-28.74;0.47
Barley_Root;4;C;-31.5;0.54
Barley_Root;7;C;-34;0.33
Barley_Root;9;C;-34.75;0.43
Barley_Root;11;C;-34.87;0.31
Barley_Root;13;C;-36.55;0.3
Barley_Root;0;P;-27.83;0.26
Barley_Root;2;P;-29.84;0.25
Barley_Root;4;P;-33.01;0.32
Barley_Root;7;P;-34.65;0.35
Barley_Root;9;P;-35.18;0.57
Barley_Root;11;P;-35.89;0.24
Barley_Root;13;P;-37.31;0.33
Barley_Root;0;Fe;-27.71;0.37
Barley_Root;2;Fe;-28.78;0.37
Barley_Root;4;Fe;-31.7;0.43
Barley_Root;7;Fe;-33.32;0.63
Barley_Root;9;Fe;-34.93;0.55
Barley_Root;11;Fe;-34.31;0.2
Barley_Root;13;Fe;-35.75;0.46
Barley_Root;0;P/Fe;-27.49;0.26
Barley_Root;2;P/Fe;-30.84;0.49
Barley_Root;4;P/Fe;-32.44;0.54
Barley_Root;7;P/Fe;-35.19;0.39
Barley_Root;9;P/Fe;-35.86;0.42
Barley_Root;11;P/Fe;-35.91;0.38
Barley_Root;13;P/Fe;-37.68;0.12
Barley_Shoot;0;C;-31.17;0.19
Barley_Shoot;2;C;-32.74;0.43
Barley_Shoot;4;C;-35.52;0.18
Barley_Shoot;7;C;-37.21;0.17
Barley_Shoot;9;C;-38.11;0.17
Barley_Shoot;11;C;-38.24;0.11
Barley_Shoot;13;C;-39.33;0.13
Barley_Shoot;0;P;-31.05;0.25
Barley_Shoot;2;P;-33.56;0.26
Barley_Shoot;4;P;-35.41;0.13
Barley_Shoot;7;P;-37.44;0.12
Barley_Shoot;9;P;-38.15;0.12
Barley_Shoot;11;P;-38.59;0.14
Barley_Shoot;13;P;-39.1;0.03
Barley_Shoot;0;Fe;-30.89;0.25
Barley_Shoot;2;Fe;-33.4;0.29
Barley_Shoot;4;Fe;-35.33;0.26
Barley_Shoot;7;Fe;-37.16;0.21
Barley_Shoot;9;Fe;-37.94;0.18
Barley_Shoot;11;Fe;-38.21;0.21
Barley_Shoot;13;Fe;-39.32;0.08
Barley_Shoot;0;P/Fe;-31.06;0.25
Barley_Shoot;2;P/Fe;-33.58;0.28
Barley_Shoot;4;P/Fe;-35.68;0.21
Barley_Shoot;7;P/Fe;-37.63;0.15
Barley_Shoot;9;P/Fe;-38.15;0.08
Barley_Shoot;11;P/Fe;-38.47;0.08
Barley_Shoot;13;P/Fe;-39.07;0.16
Maize_Root;0;C;-12.21;0.1
Maize_Root;2;C;-13.43;0.24
Maize_Root;4;C;-13.58;0.22
Maize_Root;7;C;-14.6;0.24
Maize_Root;9;C;-15.66;0.15
Maize_Root;11;C;-15.99;0.14
Maize_Root;14;C;-16.18;0.1
Maize_Root;0;P;-12.49;0.18
Maize_Root;2;P;-13.22;0.26
Maize_Root;4;P;-13.28;0.28
Maize_Root;7;P;-14.89;0.2
Maize_Root;9;P;-15.76;0.1
Maize_Root;11;P;-15.54;0.23
Maize_Root;14;P;-15.99;0.14
Maize_Root;0;Fe;-12.49;0.12
Maize_Root;2;Fe;-13.43;0.25
Maize_Root;4;Fe;-13.64;0.34
Maize_Root;7;Fe;-14.47;0.2
Maize_Root;9;Fe;-15.26;0.16
Maize_Root;11;Fe;-15.2;0.42
Maize_Root;14;Fe;-16.41;0.14
Maize_Root;0;P/Fe;-12.25;0.11
Maize_Root;2;P/Fe;-13.71;0.26
Maize_Root;4;P/Fe;-13.89;0.17
Maize_Root;7;P/Fe;-14.83;0.26
Maize_Root;9;P/Fe;-15.28;0.26
Maize_Root;11;P/Fe;-15.37;0.22
Maize_Root;14;P/Fe;-16.74;0.08
Maize_Shoot;0;C;-12.21;0.1
Maize_Shoot;2;C;-13.43;0.24
Maize_Shoot;4;C;-13.58;0.22
Maize_Shoot;7;C;-14.6;0.24
Maize_Shoot;9;C;-15.66;0.15
Maize_Shoot;11;C;-15.99;0.14
Maize_Shoot;14;C;-16.18;0.1
Maize_Shoot;0;P;-12.49;0.18
Maize_Shoot;2;P;-13.22;0.26
Maize_Shoot;4;P;-13.28;0.28
Maize_Shoot;7;P;-14.89;0.2
Maize_Shoot;9;P;-15.76;0.1
Maize_Shoot;11;P;-15.54;0.23
Maize_Shoot;14;P;-15.99;0.14
Maize_Shoot;0;Fe;-12.49;0.12
Maize_Shoot;2;Fe;-13.43;0.25
Maize_Shoot;4;Fe;-13.64;0.34
Maize_Shoot;7;Fe;-14.47;0.2
Maize_Shoot;9;Fe;-15.26;0.16
Maize_Shoot;11;Fe;-15.2;0.42
Maize_Shoot;14;Fe;-16.41;0.14
Maize_Shoot;0;P/Fe;-12.25;0.11
Maize_Shoot;2;P/Fe;-13.71;0.26
Maize_Shoot;4;P/Fe;-13.89;0.17
Maize_Shoot;7;P/Fe;-14.83;0.26
Maize_Shoot;9;P/Fe;-15.28;0.26
Maize_Shoot;11;P/Fe;-15.37;0.22
