Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;0;Barley_Root;7;-27.37;0.383101379097839;0.144798710859823
2;C;0;Barley_Shoot;7;-31.1642857142857;0.535937096522129;0.202565182253082
3;C;0;Cucumber_Root;7;-31.2642857142857;0.698542700743415;0.264024323760927
4;C;0;Cucumber_Shoot;7;-32.6571428571429;0.913230790211586;0.345168794358122
5;C;0;Maize_Root;7;-12.2071428571429;0.275179595035332;0.104008110620422
6;C;0;Maize_Shoot;7;-13.42;0.708731260775196;0.267875237484062
7;C;0;Tomato_Root;7;-31.55;0.772722459878061;0.292061637330205
8;C;0;Tomato_Shoot;7;-34.1628571428571;0.961417604126223;0.363381698085362
9;C;1;Tomato_Root;7;-33.1714285714286;0.95844367894743;0.36225766002239
10;C;1;Tomato_Shoot;7;-36.8385714285714;0.642687808385704;0.242913158805958
11;C;2;Barley_Root;7;-28.7371428571429;1.33276297324661;0.503737054829366
12;C;2;Barley_Shoot;7;-32.7342857142857;1.22432099743568;0.462749840589909
13;C;2;Cucumber_Root;7;-33.7157142857143;0.320044639743539;0.120965503600095
14;C;2;Cucumber_Shoot;7;-34.65;0.473215947885671;0.17885881636217
15;C;2;Maize_Root;7;-13.4314285714286;0.677776476709654;0.256175428837615
16;C;2;Maize_Shoot;7;-15.9671428571429;0.513053417807356;0.19391596468714
17;C;3;Tomato_Root;7;-35.3628571428571;0.629277741693186;0.237844630015502
18;C;3;Tomato_Shoot;7;-38.3014285714286;0.249961901858967;0.0944767185085087
19;C;4;Barley_Root;7;-31.5042857142857;1.55432576103871;0.587479917155663
20;C;4;Barley_Shoot;7;-35.5157142857143;0.528673091896342;0.19981964657276
21;C;4;Maize_Root;7;-13.5828571428571;0.629463112123189;0.237914693452389
22;C;4;Maize_Shoot;7;-16.3357142857143;0.528357743164519;0.199700455955522
23;C;5;Cucumber_Root;7;-34.3828571428571;1.07625452822453;0.40678597558418
24;C;5;Cucumber_Shoot;7;-35.2285714285714;0.779902313785271;0.294775367028527
25;C;7;Barley_Root;7;-34.0014285714286;0.936881859706772;0.354108058375975
26;C;7;Barley_Shoot;7;-37.2128571428571;0.477308924622;0.180405816157355
