Treatment;Barley;Cucumber;Maize;Tomato
C;0.657657658;0.548076923;0.128504673;0.317460317
C;0.519125683;0.403071017;0.128504673;0.418060201
C;0.634191176;0.727440147;0.174013921;0.447019868
C;0.442804428;0.385321101;0.174418605;0.427892235
C;0.690607735;0.53271028;0.302325581;0.339506173
C;0.688729875;0.76;0.27972028;0.344827586
C;0.452865065;0.447316103;0.291375291;0.393175074
C;0.630975143;0.500963391;0.151162791;0.406976744
C;0.847145488;0.44;0.162037037;0.368794326
C;1.163636364;0.831622177;0.186480186;0.335664336
C;0.474452555;0.56122449;0.162790698;0.371389271
C;0.833333333;0.537190083;0.198598131;0.326975477
C;0.346975089;0.533880903;0.257009346;0.315013405
C;0.473214286;0.633802817;0.291375291;0.353866317
C;0.695652174;;0.337995338;0.309278351
C;0.708191126;;0.266821346;0.308087291
C;0.520282187;;;0.272496831
C;0.644876325;;;0.229528536
C;0.707803993;;;0.288343558
C;1;;;0.347985348
C;;;;0.266343826
C;;;;0.256257449
P;0.85840708;0.473790323;0.150462963;0.168997669
P;0.905017921;0.243902439;0.138888889;0.069444444
P;0.843694494;0.276679842;0.116009281;0.165336374
P;0.541958042;0.343137255;0.244186047;0.157657658
P;0.531358885;0.176579926;0.209302326;0.117713004
P;0.177619893;0.299065421;0.174825175;0.12568306
P;0.586145648;0.267686424;0.185185185;0.069370331
P;0.463458111;0.432489451;0.196759259;0.074152542
P;0.466786355;0.291666667;0.208816705;0.25477707
P;0.767148014;0.439330544;0.196759259;0.15641293
P;0.737704918;0.253549696;0.185185185;0.056876939
P;0.842592593;0.394190871;0.185614849;0.061601643
P;0.535055351;0.278969957;0.218390805;0.070921986
P;0.777153558;0.246252677;0.324074074;0.214785215
P;0.334572491;;0.161662818;0.082964602
P;0.662878788;;0.161662818;0.082964602
P;0.634328358;;;0.089686099
P;1.065420561;;;0.084937712
P;0.92936803;;;0.062713797
P;0.759259259;;;0.079726651
P;;;;0.07981756
P;;;;0.068181818
P;;;;0.085518814
Fe;0.732600733;0.509433962;0.207852194;0.132032147
Fe;1.007532957;0.653775322;0.057471264;0.258027523
Fe;0.930018416;0.621621622;0.148741419;0.286697248
Fe;0.918367347;0.625;0.091743119;0.27180068
Fe;0.940409683;0.50274223;0.160550459;0.262843489
Fe;1.298701299;0.521023766;0.369515012;0.262836186
Fe;1.270718232;0.424954792;0.103926097;0.335775336
Fe;1.020408163;0.929978118;0.150115473;0.316301703
Fe;1.338432122;0.770065076;0.139534884;0.319662244
Fe;0.979477612;0.739130435;0.161290323;0.327380952
Fe;1.097560976;0.865800866;0.046296296;0.35335689
Fe;1.164122137;0.9030837;0.046082949;0.36088475
Fe;0.698324022;1.073825503;0.183908046;0.422943221
Fe;0.682242991;0.870535714;0.057603687;0.346590909
Fe;1.185468451;;0.034168565;0.453020134
Fe;1.005802708;;;0.215231788
Fe;1.200378072;;;0.244565217
Fe;1.473779385;;;0.327604726
Fe;1.335740072;;;0.293176972
Fe;1.559633028;;;0.354497354
Fe;;;;0.301768991
Fe;;;;0.302564103
P.Fe;1.143911439;0.204460967;0.057077626;0.343589744
P.Fe;0.831792976;0.256410256;0.138248848;0.144566301
P.Fe;0.998151571;0.329768271;0.080645161;0.088669951
P.Fe;1.197822142;0.268518519;0.126436782;0.053554041
P.Fe;1.11423221;0.362976407;0.323325635;0.06268081
P.Fe;1.011235955;0.443622921;0.288018433;0.168107589
P.Fe;0.726256983;0.428051002;0.195402299;0.205938697
P.Fe;0.753816794;0.526315789;0.415704388;0.129063098
P.Fe;0.480225989;0.358744395;0.172018349;0.202898551
P.Fe;0.919324578;0.368303571;0.126146789;0.096246391
P.Fe;0.953757225;0.256124722;0.057208238;0.165406427
P.Fe;0.63229572;0.503211991;0.080091533;0.091258405
P.Fe;0.386847195;0.573248408;0.191873589;0.18696069
P.Fe;0.836501901;0.360934183;0.225733634;0.033301618
P.Fe;0.427184466;;;0.15858209
P.Fe;0.86073501;;;0.130232558
P.Fe;0.687984496;;;0.074557316
P.Fe;0.339147287;;;0.086599818
P.Fe;0.578431373;;;0.122171946
P.Fe;0.732177264;;;0.081154193
