Species_Tissue;Time;Treatment;Value
Barley_Root;0;C;0.202
Barley_Root;0;C;0.228
Barley_Root;0;C;0.217
Barley_Root;0;C;0.17
Barley_Root;0;C;0.142
Barley_Root;0;C;0.177
Barley_Root;0;C;0.232
Barley_Root;0;P;0.133
Barley_Root;0;P;0.107
Barley_Root;0;P;0.119
Barley_Root;0;P;0.24
Barley_Root;0;P;0.187
Barley_Root;0;P;0.159
Barley_Root;0;P;0.112
Barley_Root;0;Fe;0.196
Barley_Root;0;Fe;0.227
Barley_Root;0;Fe;0.3
Barley_Root;0;Fe;0.116
Barley_Root;0;Fe;0.169
Barley_Root;0;Fe;0.143
Barley_Root;0;Fe;0.162
Barley_Root;0;P/Fe;0.18
Barley_Root;0;P/Fe;0.148
Barley_Root;0;P/Fe;0.135
Barley_Root;0;P/Fe;0.123
Barley_Root;0;P/Fe;0.165
Barley_Root;0;P/Fe;0.191
Barley_Root;0;P/Fe;0.202
Barley_Root;2;C;0.261
Barley_Root;2;C;0.187
Barley_Root;2;C;0.178
Barley_Root;2;C;0.244
Barley_Root;2;C;0.13
Barley_Root;2;C;0.126
Barley_Root;2;C;0.193
Barley_Root;2;P;0.282
Barley_Root;2;P;0.135
Barley_Root;2;P;0.194
Barley_Root;2;P;0.288
Barley_Root;2;P;0.28
Barley_Root;2;P;0.246
Barley_Root;2;P;0.24
Barley_Root;2;Fe;0.224
Barley_Root;2;Fe;0.105
Barley_Root;2;Fe;0.244
Barley_Root;2;Fe;0.205
Barley_Root;2;Fe;0.201
Barley_Root;2;Fe;0.226
Barley_Root;2;Fe;0.173
Barley_Root;2;P/Fe;0.242
Barley_Root;2;P/Fe;0.258
Barley_Root;2;P/Fe;0.247
Barley_Root;2;P/Fe;0.27
Barley_Root;2;P/Fe;0.238
Barley_Root;2;P/Fe;0.23
Barley_Root;2;P/Fe;0.169
Barley_Root;4;C;0.318
Barley_Root;4;C;0.267
Barley_Root;4;C;0.222
Barley_Root;4;C;0.266
Barley_Root;4;C;0.276
Barley_Root;4;C;0.122
Barley_Root;4;C;0.21
Barley_Root;4;P;0.382
Barley_Root;4;P;0.352
Barley_Root;4;P;0.241
Barley_Root;4;P;0.277
Barley_Root;4;P;0.326
Barley_Root;4;P;0.233
Barley_Root;4;P;0.201
Barley_Root;4;Fe;0.318
Barley_Root;4;Fe;0.282
Barley_Root;4;Fe;0.153
Barley_Root;4;Fe;0.273
Barley_Root;4;Fe;0.239
Barley_Root;4;Fe;0.189
Barley_Root;4;Fe;0.226
Barley_Root;4;P/Fe;0.265
Barley_Root;4;P/Fe;0.146
Barley_Root;4;P/Fe;0.443
Barley_Root;4;P/Fe;0.369
Barley_Root;4;P/Fe;0.392
Barley_Root;4;P/Fe;0.243
Barley_Root;4;P/Fe;0.256
Barley_Root;7;C;0.218
Barley_Root;7;C;0.166
Barley_Root;7;C;0.131
Barley_Root;7;C;0.324
Barley_Root;7;C;0.438
Barley_Root;7;C;0.298
Barley_Root;7;C;0.347
Barley_Root;7;P;0.543
Barley_Root;7;P;0.307
Barley_Root;7;P;0.462
Barley_Root;7;P;0.333
Barley_Root;7;P;0.561
Barley_Root;7;P;0.293
Barley_Root;7;P;0.438
Barley_Root;7;Fe;0.401
Barley_Root;7;Fe;0.445
Barley_Root;7;Fe;0.253
Barley_Root;7;Fe;0.21
Barley_Root;7;Fe;0.266
Barley_Root;7;Fe;0.452
Barley_Root;7;Fe;0.317
Barley_Root;7;P/Fe;0.543
Barley_Root;7;P/Fe;0.273
Barley_Root;7;P/Fe;0.303
Barley_Root;7;P/Fe;0.445
Barley_Root;7;P/Fe;0.444
Barley_Root;7;P/Fe;0.327
Barley_Root;7;P/Fe;0.351
Barley_Root;9;C;0.392
Barley_Root;9;C;0.353
Barley_Root;9;C;0.263
Barley_Root;9;C;0.333
Barley_Root;9;C;0.498
Barley_Root;9;C;0.396
Barley_Root;9;C;0.316
Barley_Root;9;P;0.778
Barley_Root;9;P;0.533
Barley_Root;9;P;0.428
Barley_Root;9;P;0.567
Barley_Root;9;P;0.372
Barley_Root;9;P;0.25
Barley_Root;9;P;0.637
Barley_Root;9;Fe;0.236
Barley_Root;9;Fe;0.35
Barley_Root;9;Fe;0.593
Barley_Root;9;Fe;0.461
Barley_Root;9;Fe;0.466
Barley_Root;9;Fe;0.964
Barley_Root;9;Fe;0.203
Barley_Root;9;P/Fe;0.43
Barley_Root;9;P/Fe;0.299
Barley_Root;9;P/Fe;0.488
Barley_Root;9;P/Fe;0.338
Barley_Root;9;P/Fe;0.407
Barley_Root;9;P/Fe;0.368
Barley_Root;9;P/Fe;0.824
Barley_Root;11;C;0.384
Barley_Root;11;C;0.527
Barley_Root;11;C;0.405
Barley_Root;11;C;0.592
Barley_Root;11;C;0.388
Barley_Root;11;C;0.352
Barley_Root;11;C;0.267
Barley_Root;11;P;0.689
Barley_Root;11;P;0.566
Barley_Root;11;P;0.323
Barley_Root;11;P;0.597
Barley_Root;11;P;0.435
Barley_Root;11;P;0.469
Barley_Root;11;P;0.475
Barley_Root;11;Fe;0.249
Barley_Root;11;Fe;0.448
Barley_Root;11;Fe;0.413
Barley_Root;11;Fe;0.502
Barley_Root;11;Fe;0.274
Barley_Root;11;Fe;0.375
Barley_Root;11;Fe;0.231
Barley_Root;11;P/Fe;0.621
Barley_Root;11;P/Fe;0.685
Barley_Root;11;P/Fe;0.374
Barley_Root;11;P/Fe;0.872
Barley_Root;11;P/Fe;0.467
Barley_Root;11;P/Fe;0.502
Barley_Root;11;P/Fe;0.597
Barley_Root;14;C;0.631
Barley_Root;14;C;0.573
Barley_Root;14;C;0.732
Barley_Root;14;C;0.644
Barley_Root;14;C;0.424
Barley_Root;14;C;0.679
Barley_Root;14;C;0.654
Barley_Root;14;P;0.845
Barley_Root;14;P;1.377
Barley_Root;14;P;1.369
Barley_Root;14;P;0.918
Barley_Root;14;P;1.112
Barley_Root;14;P;0.579
Barley_Root;14;P;1.238
Barley_Root;14;Fe;0.665
Barley_Root;14;Fe;0.546
Barley_Root;14;Fe;0.85
Barley_Root;14;Fe;0.809
Barley_Root;14;Fe;0.404
Barley_Root;14;Fe;0.661
Barley_Root;14;Fe;1.146
Barley_Root;14;P/Fe;0.755
Barley_Root;14;P/Fe;0.98
Barley_Root;14;P/Fe;0.833
Barley_Root;14;P/Fe;1.128
Barley_Root;14;P/Fe;1.06
Barley_Root;14;P/Fe;0.776
Barley_Root;14;P/Fe;0.755
Barley_Shoot;0;C;0.463
Barley_Shoot;0;C;0.48
Barley_Shoot;0;C;0.437
Barley_Shoot;0;C;0.336
Barley_Shoot;0;C;0.329
Barley_Shoot;0;C;0.43
Barley_Shoot;0;C;0.526
Barley_Shoot;0;P;0.305
Barley_Shoot;0;P;0.217
Barley_Shoot;0;P;0.289
Barley_Shoot;0;P;0.421
Barley_Shoot;0;P;0.389
Barley_Shoot;0;P;0.261
Barley_Shoot;0;P;0.278
Barley_Shoot;0;Fe;0.398
Barley_Shoot;0;Fe;0.381
Barley_Shoot;0;Fe;0.453
Barley_Shoot;0;Fe;0.329
Barley_Shoot;0;Fe;0.456
Barley_Shoot;0;Fe;0.331
Barley_Shoot;0;Fe;0.413
Barley_Shoot;0;P/Fe;0.405
Barley_Shoot;0;P/Fe;0.289
Barley_Shoot;0;P/Fe;0.344
Barley_Shoot;0;P/Fe;0.205
Barley_Shoot;0;P/Fe;0.373
Barley_Shoot;0;P/Fe;0.387
Barley_Shoot;0;P/Fe;0.429
Barley_Shoot;2;C;0.595
Barley_Shoot;2;C;0.379
Barley_Shoot;2;C;0.419
Barley_Shoot;2;C;0.574
Barley_Shoot;2;C;0.33
Barley_Shoot;2;C;0.337
Barley_Shoot;2;C;0.473
Barley_Shoot;2;P;0.581
Barley_Shoot;2;P;0.344
Barley_Shoot;2;P;0.383
Barley_Shoot;2;P;0.534
Barley_Shoot;2;P;0.55
Barley_Shoot;2;P;0.475
Barley_Shoot;2;P;0.53
Barley_Shoot;2;Fe;0.503
Barley_Shoot;2;Fe;0.245
Barley_Shoot;2;Fe;0.504
Barley_Shoot;2;Fe;0.471
Barley_Shoot;2;Fe;0.562
Barley_Shoot;2;Fe;0.549
Barley_Shoot;2;Fe;0.492
Barley_Shoot;2;P/Fe;0.528
Barley_Shoot;2;P/Fe;0.576
Barley_Shoot;2;P/Fe;0.578
Barley_Shoot;2;P/Fe;0.585
Barley_Shoot;2;P/Fe;0.542
Barley_Shoot;2;P/Fe;0.536
Barley_Shoot;2;P/Fe;0.396
Barley_Shoot;4;C;0.729
Barley_Shoot;4;C;0.608
Barley_Shoot;4;C;0.61
Barley_Shoot;4;C;0.702
Barley_Shoot;4;C;0.673
Barley_Shoot;4;C;0.396
Barley_Shoot;4;C;0.653
Barley_Shoot;4;P;0.728
Barley_Shoot;4;P;0.676
Barley_Shoot;4;P;0.528
Barley_Shoot;4;P;0.609
Barley_Shoot;4;P;0.752
Barley_Shoot;4;P;0.473
Barley_Shoot;4;P;0.515
Barley_Shoot;4;Fe;0.71
Barley_Shoot;4;Fe;0.644
Barley_Shoot;4;Fe;0.449
Barley_Shoot;4;Fe;0.773
Barley_Shoot;4;Fe;0.759
Barley_Shoot;4;Fe;0.559
Barley_Shoot;4;Fe;0.692
Barley_Shoot;4;P/Fe;0.511
Barley_Shoot;4;P/Fe;0.314
Barley_Shoot;4;P/Fe;0.803
Barley_Shoot;4;P/Fe;0.726
Barley_Shoot;4;P/Fe;0.806
Barley_Shoot;4;P/Fe;0.623
Barley_Shoot;4;P/Fe;0.726
Barley_Shoot;7;C;0.949
Barley_Shoot;7;C;0.682
Barley_Shoot;7;C;0.678
Barley_Shoot;7;C;0.888
Barley_Shoot;7;C;1.243
Barley_Shoot;7;C;1.046
Barley_Shoot;7;C;1.041
Barley_Shoot;7;P;1.027
Barley_Shoot;7;P;0.733
Barley_Shoot;7;P;0.949
Barley_Shoot;7;P;0.751
Barley_Shoot;7;P;1.154
Barley_Shoot;7;P;0.699
Barley_Shoot;7;P;1.034
Barley_Shoot;7;Fe;0.981
Barley_Shoot;7;Fe;1.165
Barley_Shoot;7;Fe;0.687
Barley_Shoot;7;Fe;0.623
Barley_Shoot;7;Fe;0.666
Barley_Shoot;7;Fe;1.139
Barley_Shoot;7;Fe;1.036
Barley_Shoot;7;P/Fe;1.059
Barley_Shoot;7;P/Fe;0.637
Barley_Shoot;7;P/Fe;0.785
Barley_Shoot;7;P/Fe;1.053
Barley_Shoot;7;P/Fe;1.012
Barley_Shoot;7;P/Fe;0.935
Barley_Shoot;7;P/Fe;0.733
Barley_Shoot;9;C;1.196
Barley_Shoot;9;C;1.277
Barley_Shoot;9;C;0.905
Barley_Shoot;9;C;1.153
Barley_Shoot;9;C;1.329
Barley_Shoot;9;C;0.98
Barley_Shoot;9;C;1.075
Barley_Shoot;9;P;1.446
Barley_Shoot;9;P;1.272
Barley_Shoot;9;P;1.208
Barley_Shoot;9;P;1.337
Barley_Shoot;9;P;1.234
Barley_Shoot;9;P;0.762
Barley_Shoot;9;P;1.332
Barley_Shoot;9;Fe;0.73
Barley_Shoot;9;Fe;1.059
Barley_Shoot;9;Fe;1.261
Barley_Shoot;9;Fe;1.411
Barley_Shoot;9;Fe;1.19
Barley_Shoot;9;Fe;1.687
Barley_Shoot;9;Fe;0.661
Barley_Shoot;9;P/Fe;1.014
Barley_Shoot;9;P/Fe;0.807
Barley_Shoot;9;P/Fe;1.157
Barley_Shoot;9;P/Fe;1.023
Barley_Shoot;9;P/Fe;1.142
Barley_Shoot;9;P/Fe;0.876
Barley_Shoot;9;P/Fe;0.876
Barley_Shoot;11;C;1.205
Barley_Shoot;11;C;1.469
Barley_Shoot;11;C;1.521
Barley_Shoot;11;C;1.731
Barley_Shoot;11;C;1.454
Barley_Shoot;11;C;1.424
Barley_Shoot;11;C;1.294
Barley_Shoot;11;P;1.419
Barley_Shoot;11;P;1.544
Barley_Shoot;11;P;0.885
