Treatment;Barley;Cucumber;Maize;Tomato
C;1.475849732;1.6;1.934731935;0.449775112
C;1.730418944;1.564299424;1.109813084;0.760869565
C;1.450511945;;1.658932715;0.847240051
C;2.554545455;1.314168378;1.212121212;0.874125874
C;0.857142857;0.120724346;2.715617716;0.910878113
C;0.255731922;;;1.045627376
C;;;;1.15613826
C;0.091240876;0.642857143;0.337209302;1.231086657
C;0.54954955;;;1.233211233
C;0.573913043;;2.727272727;1.237113402
C;1.129893238;0.400410678;2.14953271;1.347184987
C;0.919117647;2.642725599;0.858468677;1.36589404
C;0.773480663;1.719626168;2.802325581;1.466049383
C;;;;1.47094431
C;1.959334566;0.526838966;2.10955711;1.483679525
C;1.134686347;0.52293578;0.581395349;1.497622821
C;0.54446461;;;1.754601227
C;0.253623188;1.012396694;1.028037383;1.832425068
C;1.309751434;0.828516378;0.697674419;1.838662791
C;3.158379374;1.05;0.127314815;1.957446809
C;1.581272085;;;1.966501241
C;2.081081081;1.605769231;0.66588785;2.319223986
Fe;0.847457627;1.565377532;1E-11;0.040137615
Fe;0.676982592;;;0.093818985
Fe;;;;0.148717949
Fe;0.451197053;2.666666667;1E-11;0.212155963
Fe;0.705009276;0.29250457;0.762124711;0.256723716
Fe;1.988527725;;1E-11;0.329977629
Fe;0.904159132;;;0.338345865
Fe;1.332703214;;;0.380434783
Fe;1.101083032;;;0.426439232
Fe;1.651205937;0.864332604;1E-11;0.535279805
Fe;0.642458101;0.173674589;1E-11;0.561529271
Fe;0.640535373;0.21691974;0.139534884;0.572979493
Fe;1.14953271;0.234375;1E-11;0.636363636
Fe;3.366972477;;;0.64021164
Fe;2.067039106;0.659955257;0.827586207;0.706836616
Fe;;;;0.712799168
Fe;1.749084249;0.066037736;0.092378753;0.792192882
Fe;0.695732839;0.53442029;0.01146789;0.792751982
Fe;0.534069982;1.338155515;1E-11;0.842490842
Fe;0.802238806;0.684782609;0.610599078;1.25
Fe;1.164122137;0.13215859;1E-11;1.25145518
Fe;0.412757974;0.25974026;1E-11;1.272084806
P;0.213143872;0.635514019;0.769230769;0.081967213
P;0.846702317;0.738396624;1.111111111;0.095338983
P;1.242990654;;;0.107587769
P;0.629370629;1.068627451;1.093023256;0.157657658
P;0.472222222;1.037344398;1.055684455;0.159137577
P;0.577264654;0.210325048;1.655092593;0.186766275
P;0.627240143;0.467479675;0.949074074;0.289351852
P;0.018726592;0.481798715;2.12962963;0.294705295
P;0.348432056;0.241635688;1;0.330717489
P;0.674955595;0.513833992;0.266821346;0.347776511
P;0.444444444;;;0.375854214
P;0.690265487;1.552419355;0.787037037;0.378787879
P;0.241635688;;1.154734411;0.392699115
P;0.488929889;0.214592275;1.551724138;0.400202634
P;;;;0.404789054
P;0.455373406;1.754563895;0.856481481;0.408479835
P;0.162454874;0.135983264;1.25;0.495307612
P;0.762081784;;;0.501710376
P;;;;0.501710376
P;;;;0.522727273
P;0.680970149;;;0.627802691
P;0.843806104;0.333333333;0.881670534;0.838641189
P;0.577651515;;1.581986143;1.399336283
P.Fe;0.658914729;;;0.018639329
P.Fe;1.560693642;;;0.027051398
P.Fe;0.627306273;0.111524164;1E-11;0.153846154
P.Fe;0.788973384;1.082802548;0.270880361;0.176022835
P.Fe;0.924124514;3.265524625;1E-11;0.216138329
P.Fe;0.30956848;0.245535714;1E-11;0.259865255
P.Fe;0.925589837;0.037037037;1E-11;0.282375852
P.Fe;1.563670412;0.172413793;0.935334873;0.294117647
P.Fe;0.01934236;;;0.344186047
P.Fe;0.896487985;0.13368984;1E-11;0.399014778
P.Fe;0.009689922;;;0.442114859
P.Fe;0.568627451;;;0.511312217
P.Fe;1.524953789;1.291208791;0.34562212;0.54336989
P.Fe;1E-11;0.212314225;0.293453725;0.575263663
P.Fe;0.077669903;;;0.652985075
P.Fe;0.734732824;1.239035088;0.127020785;0.712237094
P.Fe;0.689013035;0.910746812;0.689655172;0.775862069
P.Fe;3.097928437;1.939461883;0.229357798;0.826086957
P.Fe;1.376404494;0.3974122;0.322580645;0.965417867
P.Fe;1.473988439;0.445434298;1E-11;1.290170132
