Treatment;Barley;Cucumber;Maize;Tomato
C;0.027810685;0.036210022;0.006786814;0.021372047
C;0.035122882;0.047530387;0.006898051;0.014837496
C;0.033834391;0.057191477;0.008825981;0.021339268
C;0.032918952;0.043026315;0.010021064;0.019558345
C;0.045498653;0.040279609;0.010057899;0.016869648
C;0.025964902;0.050374753;0.010200435;0.017035632
C;0.04624108;0.048719367;0.010566349;0.015284338
C;0.02341037;0.032151139;0.011562741;0.022105448
C;0.060298423;0.064500336;0.012624674;0.01616744
C;0.021369274;0.048493745;0.015742105;0.014283072
C;0.038050847;;0.015956963;0.014985888
C;0.033080052;0.063086203;0.016513814;0.016959104
C;0.026119517;0.055152276;0.018145858;0.016731557
C;0.025272555;0.037998946;0.018626081;0.018732321
C;0.037073758;0.044192571;0.018912627;0.016789464
C;0.039672785;;0.021708286;0.015006239
C;0.031826434;;;0.013652644
C;0.038221145;;;0.010415691
C;0.044255423;;;0.014004119
C;0.057555537;;;0.016484746
C;;;;0.012797554
C;;;;0.011556586
Fe;0.057041472;0.056396159;1.00E-11;0.012176144
Fe;0.058311686;0.052096887;1.00E-11;0.012722277
Fe;0.071883897;0.079831125;0.003591915;0.016274182
Fe;0.045230273;0.081525512;0.003592284;0.016343006
Fe;0.060437058;0.078933375;0.003597736;0.0164657
Fe;0.075170608;;0.0036436;0.020568887
Fe;0.057882134;0.053270821;0.006577537;0.013603578
Fe;0.062008228;0.063338011;0.006817162;0.015065389
Fe;0.047110615;0.043466149;0.00965452;0.006334971
Fe;0.070305434;0.039161995;0.010320453;0.015497699
Fe;0.064245141;0.076711963;0.010320453;0.014431046
Fe;0.078904546;0.069173496;0.010900874;0.014715086
Fe;0.059987785;0.044376008;0.016556387;0.011620875
Fe;0.039354563;0.097308615;0.01780954;0.019300713
Fe;0.079693035;0.046664823;0.033035407;0.011986323
Fe;0.064617747;;;0.00993454
Fe;0.067366144;;;0.010816166
Fe;0.086336306;;;0.013914194
Fe;0.073916727;;;0.01366544
Fe;0.091322909;;;0.015351202
Fe;;;;0.013788047
Fe;;;;0.013830508
P;0.054545949;0.021218926;0.005690827;0.002643763
P;0.049607941;0.025818421;0.008507047;0.007908181
P;0.013747305;0.02740233;0.00893168;0.004389
P;0.023077833;;0.009654696;0.004297256
P;0.050818809;0.039344781;0.011057814;0.008083559
P;0.032471166;0.016697663;0.011423466;0.005337277
P;0.028904672;0.028651434;0.011586004;0.007092642
P;0.036896651;0.023072265;0.014794213;0.003357789
P;0.030280258;0.035245721;0.014870825;0.003296863
P;0.028175161;0.027114807;0.015147297;0.002970395
P;0.045782434;0.041424433;0.015163273;0.007164737
P;0.039589104;0.025966664;0.015290422;0.002346949
P;0.051129237;0.035283046;0.015638579;0.00241568
P;0.042555943;;0.015874972;0.004316239
P;0.03061175;0.02614349;0.017814004;0.011886716
P;0.046963948;0.023894288;0.024817678;0.009086381
P;0.040225917;;;0.004238197
P;0.065558815;;;0.003533102
P;0.057278849;;;0.002750763
P;0.047313126;;;0.003537582
P;;;;0.00343581
P;;;;0.002662623
P;;;;0.003564507
P.Fe;0.032710495;0.037121804;1.00E-11;0.008631513
P.Fe;0.053895712;0.028386169;0.003612552;0.003671478
P.Fe;0.039935358;0.045337076;0.00363917;0.004154256
P.Fe;0.048448103;0.036955301;0.007086776;0.004362738
P.Fe;0.053463665;0.022252005;0.007180383;0.00667362
P.Fe;0.061700923;0.026490368;0.007358739;0.006930759
P.Fe;0.071026709;0.017448102;0.007418766;0.014876135
P.Fe;0.067928525;0.025259534;0.01066948;0.0021884
P.Fe;0.062979059;0.037115375;0.017358349;0.008155146
P.Fe;0.018347435;0.057041101;0.017756724;0.008340565
P.Fe;0.047046226;0.034249475;0.017910023;0.009116285
P.Fe;0.054424684;0.035470624;0.021293724;0.001473076
P.Fe;0.069320416;0.030868364;0.024866909;0.002920286
P.Fe;0.046253649;0.04874607;0.031600291;0.006285568
P.Fe;0.030097612;;;0.007785661
P.Fe;0.057416564;;;0.006535496
P.Fe;0.046233272;;;0.003735604
P.Fe;0.025678275;;;0.004379774
P.Fe;0.039019921;;;0.005659026
P.Fe;0.039906375;;;0.003533151
