$Barley_Root;;
$Barley_Root$`0`;;
;Value;groups
C;0.1952857;a
Fe;0.1873714;a
P/Fe;0.1631429;a
P;0.1509;a
;;
$Barley_Root$`2`;;
;Value;groups
P;0.2376857;a
P/Fe;0.2363571;a
Fe;0.1968;a
C;0.1883429;a
;;
$Barley_Root$`4`;;
;Value;groups
P/Fe;0.3019;a
P;0.2876429;a
Fe;0.2401286;a
C;0.2400857;a
;;
$Barley_Root$`7`;;
;Value;groups
P;0.4194143;a
P/Fe;0.3836;a
Fe;0.3348;a
C;0.2745286;a
;;
$Barley_Root$`9`;;
;Value;groups
P;0.5092714;a
Fe;0.4675429;a
P/Fe;0.4507286;a
C;0.3642429;a
;;
$Barley_Root$`11`;;
;Value;groups
P/Fe;0.5882429;a
P;0.5077571;ab
C;0.4163714;ab
Fe;0.3559857;b
;;
$Barley_Root$`14`;;
;Value;groups
P;1.0626286;a
P/Fe;0.8981857;ab
Fe;0.7257714;b
C;0.6195286;b
;;
;;
$Barley_Shoot;;
$Barley_Shoot$`0`;;
;Value;groups
C;0.4287429;a
Fe;0.3944571;ab
P/Fe;0.3474429;ab
P;0.3085286;b
;;
$Barley_Shoot$`2`;;
;Value;groups
P/Fe;0.5341857;a
P;0.4851143;a
Fe;0.4751143;a
C;0.4438143;a
;;
$Barley_Shoot$`4`;;
;Value;groups
Fe;0.6552;a
P/Fe;0.6439286;a
C;0.6243857;a
P;0.6116286;a
;;
$Barley_Shoot$`7`;;
;Value;groups
C;0.9324;a
P;0.9064714;a
Fe;0.8996;a
P/Fe;0.8875571;a
;;
$Barley_Shoot$`9`;;
;Value;groups
P;1.2272571;a
Fe;1.1426286;a
C;1.1306429;a
P/Fe;0.9850429;a
;;
$Barley_Shoot$`11`;;
;Value;groups
C;1.442471;a
P/Fe;1.322886;a
P;1.242014;a
Fe;1.178357;a
;;
$Barley_Shoot$`14`;;
;Value;groups
C;1.821943;a
P;1.780529;a
Fe;1.747771;a
P/Fe;1.513357;a
;;
;;
$Cucumber_Root;;
$Cucumber_Root$`0`;;
;Value;groups
P/Fe;0.3323714;a
P;0.2712429;a
C;0.2527429;a
Fe;0.2439143;a
;;
$Cucumber_Root$`2`;;
;Value;groups
Fe;0.5024143;a
P/Fe;0.4462429;a
C;0.4390143;a
P;0.4216714;a
;;
$Cucumber_Root$`5`;;
;Value;groups
P/Fe;0.8495857;a
C;0.8330857;a
P;0.7620286;a
Fe;0.5684286;a
;;
$Cucumber_Root$`7`;;
;Value;groups
C;1.4160714;a
P;0.9604571;a
P/Fe;0.8493;a
Fe;0.7192429;a
;;
$Cucumber_Root$`9`;;
;Value;groups
Fe;1.155314;a
P/Fe;1.1223;a
C;1.073843;a
P;0.9319;a
;;
$Cucumber_Root$`12`;;
;Value;groups
P;2.440086;a
C;2.186143;a
Fe;1.2211;a
P/Fe;1.148629;a
;;
$Cucumber_Root$`14`;;
;Value;groups
P;2.199986;a
C;2.169629;a
P/Fe;2.147686;a
Fe;2.087929;a
;;
;;
$Cucumber_Shoot;;
$Cucumber_Shoot$`0`;;
;Value;groups
P/Fe;1.0025714;a
C;0.9316571;a
P;0.8779714;a
Fe;0.8127429;a
;;
$Cucumber_Shoot$`2`;;
;Value;groups
Fe;1.343114;a
P/Fe;1.2273;a
C;1.222171;a
P;1.182443;a
;;
$Cucumber_Shoot$`5`;;
;Value;groups
Fe;2.034229;a
C;1.961;a
P;1.764271;a
P/Fe;1.648614;a
;;
$Cucumber_Shoot$`7`;;
;Value;groups
C;2.640414;a
P;2.131329;ab
Fe;2.093614;ab
P/Fe;1.922271;b
;;
$Cucumber_Shoot$`9`;;
;Value;groups
Fe;2.914614;a
C;2.858086;a
P;2.425143;a
P/Fe;1.784071;a
;;
$Cucumber_Shoot$`12`;;
;Value;groups
C;5.787986;a
Fe;4.101071;b
P;2.925214;b
P/Fe;2.908343;b
;;
$Cucumber_Shoot$`14`;;
;Value;groups
Fe;5.423671;a
C;5.262943;ab
P;3.785757;ab
P/Fe;3.268943;b
;;
;;
$Maize_Root;;
$Maize_Root$`0`;;
;Value;groups
C;0.5123286;a
P;0.3803286;ab
P/Fe;0.3754143;ab
Fe;0.2549571;b
;;
$Maize_Root$`2`;;
;Value;groups
P;0.6230857;a
P/Fe;0.6182143;a
C;0.5744714;a
Fe;0.5677286;a
;;
