Treatment;Time;Species_Tissue;N;Mean Fresh Weight (g);sd;se
C;-17;Maize_Root;3;0.1153;0.009853426;0.005688878
C;-17;Maize_Shoot;3;0.1153;0.009853426;0.005688878
C;-14;Tomato_Root;3;0.003133333;0.000665833;0.000384419
C;-14;Tomato_Shoot;3;0.003133333;0.000665833;0.000384419
C;-13;Cucumber_Root;3;0.0274;0.00212838;0.001228821
C;-13;Cucumber_Shoot;3;0.0274;0.00212838;0.001228821
C;-11;Barley_Root;3;0.042933333;0.004643634;0.002681003
C;-11;Barley_Shoot;3;0.042933333;0.004643634;0.002681003
C;-7;Barley_Root;7;0.076157143;0.023020488;0.008700927
C;-7;Barley_Shoot;7;0.057385714;0.014774125;0.005584094
C;-7;Cucumber_Root;7;0.0544;0.01484172;0.005609643
C;-7;Cucumber_Shoot;7;0.1124;0.022905458;0.008657449
C;-7;Maize_Root;7;0.283857143;0.125589276;0.047468284
C;-7;Maize_Shoot;7;0.466028571;0.106694138;0.040326594
C;-7;Tomato_Root;7;0.013414286;0.004458112;0.001685008
C;-7;Tomato_Shoot;7;0.021928571;0.004377105;0.00165439
C;-3;Barley_Root;7;0.189542857;0.039810504;0.015046956
C;-3;Barley_Shoot;7;0.249414286;0.055646037;0.021032225
C;-3;Maize_Root;7;0.484171429;0.164603045;0.062214103
C;-3;Maize_Shoot;7;0.736914286;0.215739677;0.081541933
C;-3;Tomato_Root;7;0.005685714;0.00170042;0.000642698
C;-3;Tomato_Shoot;7;0.060685714;0.006343876;0.00239776
C;-2;Cucumber_Root;7;0.171014286;0.019018362;0.007188265
C;-2;Cucumber_Shoot;7;0.724271429;0.078584237;0.02970205
C;0;Barley_Root;7;0.195285714;0.033592431;0.012696746
C;0;Barley_Shoot;7;0.428742857;0.072850666;0.027534964
C;0;Cucumber_Root;7;0.252742857;0.120633423;0.045595148
C;0;Cucumber_Shoot;7;0.931657143;0.315151513;0.119116076
C;0;Maize_Root;7;0.512328571;0.201926577;0.076321072
C;0;Maize_Shoot;7;1.143671429;0.425158859;0.160694944
C;0;Tomato_Root;7;0.0123;0.005589872;0.002112773
C;0;Tomato_Shoot;7;0.097785714;0.031830302;0.012030723
C;1;Tomato_Root;7;0.014242857;0.005345047;0.002020238
C;1;Tomato_Shoot;7;0.1379;0.032089354;0.012128636
C;2;Barley_Root;7;0.188342857;0.051322538;0.019398096
C;2;Barley_Shoot;7;0.443814286;0.108007337;0.040822936
C;2;Cucumber_Root;7;0.439014286;0.106121431;0.040110131
C;2;Cucumber_Shoot;7;1.222171429;0.237486229;0.089761357
C;2;Maize_Root;7;0.574471429;0.213824147;0.080817931
C;2;Maize_Shoot;7;1.488657143;0.837933674;0.31670916
C;3;Tomato_Root;7;0.0277;0.008635006;0.003263726
C;3;Tomato_Shoot;7;0.227714286;0.026273715;0.009930531
C;4;Barley_Root;7;0.240085714;0.063079142;0.023841674
C;4;Barley_Shoot;7;0.624385714;0.11016871;0.041639859
C;4;Maize_Root;7;0.605314286;0.221091922;0.083564892
C;4;Maize_Shoot;7;1.807871429;0.825511283;0.312013937
C;5;Cucumber_Root;7;0.833085714;0.4084274;0.154371047
C;5;Cucumber_Shoot;7;1.961;0.620419544;0.234496546
C;7;Barley_Root;7;0.274528571;0.108359828;0.040956165
C;7;Barley_Shoot;7;0.9324;0.204608219;0.077334638
C;7;Cucumber_Root;7;1.416071429;0.795158137;0.300541526
C;7;Cucumber_Shoot;7;2.640414286;0.320604754;0.121177207
C;7;Maize_Root;7;0.7213;0.257032028;0.097148975
C;7;Maize_Shoot;7;2.530957143;1.216462728;0.459779694
C;7;Tomato_Root;7;0.082942857;0.025697591;0.009712776
C;7;Tomato_Shoot;7;0.605342857;0.141912225;0.053637779
C;9;Barley_Root;7;0.364242857;0.07452563;0.02816804
C;9;Barley_Shoot;7;1.130642857;0.154116621;0.058250607
C;9;Cucumber_Root;7;1.073842857;0.901169865;0.340610193
C;9;Cucumber_Shoot;7;2.858085714;1.113699603;0.420938883
C;9;Maize_Root;7;0.912857143;0.34243977;0.129430067
C;9;Maize_Shoot;7;3.042885714;1.165572441;0.440544973
C;9;Tomato_Root;7;0.134285714;0.040966833;0.015484008
C;9;Tomato_Shoot;7;1.011142857;0.257264176;0.097236719
C;11;Barley_Root;7;0.416371429;0.109275061;0.041302091
C;11;Barley_Shoot;7;1.442471429;0.167635236;0.063360164
C;11;Maize_Root;7;1.030742857;0.379587288;0.143470509
C;11;Maize_Shoot;7;4.0139;1.642166207;0.620680485
C;11;Tomato_Root;7;0.280628571;0.047800095;0.018066738
C;11;Tomato_Shoot;7;1.918328571;0.264699255;0.100046915
C;12;Cucumber_Root;7;2.186142857;0.960459176;0.363019446
C;12;Cucumber_Shoot;7;5.787985714;1.408421953;0.532333461
C;14;Barley_Root;7;0.619528571;0.098734842;0.037318263
C;14;Barley_Shoot;7;1.821942857;0.268505747;0.101485633
C;14;Cucumber_Root;7;2.169628571;1.164000634;0.439950886
C;14;Cucumber_Shoot;7;5.262942857;1.20514078;0.4555004
C;14;Maize_Root;7;1.264185714;0.573175259;0.216639885
C;14;Maize_Shoot;7;7.642914286;2.792387655;1.055423329
C;14;Tomato_Root;7;0.4606;0.203478648;0.0769077
C;14;Tomato_Shoot;7;2.779728571;0.93425897;0.353116699
Fe;0;Barley_Root;7;0.187371429;0.061144957;0.023110621
Fe;0;Barley_Shoot;7;0.394457143;0.051806301;0.019580941
Fe;0;Cucumber_Root;7;0.243914286;0.107291603;0.040552414
Fe;0;Cucumber_Shoot;7;0.812742857;0.117557147;0.044432425
Fe;0;Maize_Root;7;0.254957143;0.102493835;0.038739028
Fe;0;Maize_Shoot;7;0.591342857;0.292983395;0.110737314
Fe;0;Tomato_Root;7;0.016542857;0.003862148;0.001459755
Fe;0;Tomato_Shoot;7;0.127614286;0.043919374;0.016599963
Fe;1;Tomato_Root;7;0.017757143;0.006061314;0.002290961
Fe;1;Tomato_Shoot;7;0.150671429;0.026898991;0.010166863
Fe;2;Barley_Root;7;0.1968;0.046129961;0.017435487
Fe;2;Barley_Shoot;7;0.475114286;0.106392879;0.040212729
Fe;2;Cucumber_Root;7;0.502414286;0.145365659;0.054943055
Fe;2;Cucumber_Shoot;7;1.343114286;0.206945367;0.078217996
Fe;2;Maize_Root;7;0.567728571;0.188487132;0.07124144
Fe;2;Maize_Shoot;7;1.589571429;0.472047475;0.178417175
Fe;3;Tomato_Root;7;0.034471429;0.005578445;0.002108454
Fe;3;Tomato_Shoot;7;0.228557143;0.025167628;0.009512469
Fe;4;Barley_Root;7;0.240128571;0.056775162;0.021458994
Fe;4;Barley_Shoot;7;0.6552;0.116194435;0.043917368
Fe;4;Maize_Root;7;0.768028571;0.346806501;0.131080536
Fe;4;Maize_Shoot;7;1.939571429;0.64631215;0.244283031
Fe;5;Cucumber_Root;7;0.568428571;0.14800306;0.055939899
Fe;5;Cucumber_Shoot;7;2.034228571;0.313641519;0.118545351
Fe;7;Barley_Root;7;0.3348;0.097818471;0.036971907
Fe;7;Barley_Shoot;7;0.8996;0.234205707;0.088521437
Fe;7;Cucumber_Root;7;0.719242857;0.268462355;0.101469233
Fe;7;Cucumber_Shoot;7;2.093614286;0.318472911;0.120371446
Fe;7;Maize_Root;7;0.718671429;0.252944794;0.095604146
Fe;7;Maize_Shoot;7;2.516457143;0.921780885;0.348400426
Fe;7;Tomato_Root;7;0.094085714;0.012639545;0.004777299
Fe;7;Tomato_Shoot;7;0.4453;0.056538099;0.021369393
Fe;9;Barley_Root;7;0.467542857;0.257949639;0.097495799
Fe;9;Barley_Shoot;7;1.142628571;0.363481667;0.137383157
Fe;9;Cucumber_Root;7;1.155314286;0.984635651;0.372157295
Fe;9;Cucumber_Shoot;7;2.914614286;0.988488153;0.373613404
Fe;9;Maize_Root;7;1.059;0.370173946;0.1399126
Fe;9;Maize_Shoot;7;3.245171429;1.038038642;0.392341728
Fe;9;Tomato_Root;7;0.1304;0.037936482;0.014338642
Fe;9;Tomato_Shoot;7;0.5668;0.097085838;0.036694998
Fe;11;Barley_Root;7;0.355985714;0.105798069;0.039987911
Fe;11;Barley_Shoot;7;1.178357143;0.21007919;0.07940247
Fe;11;Maize_Root;7;1.403571429;0.602319275;0.227655287
Fe;11;Maize_Shoot;7;4.0944;0.937987582;0.354525982
Fe;11;Tomato_Root;7;0.223928571;0.106656156;0.040312238
Fe;11;Tomato_Shoot;7;0.822642857;0.414908403;0.156820636
Fe;12;Cucumber_Root;7;1.2211;0.81333106;0.307410246
Fe;12;Cucumber_Shoot;7;4.101071429;1.123198715;0.42452921
Fe;14;Barley_Root;7;0.725771429;0.239108774;0.090374622
Fe;14;Barley_Shoot;7;1.747771429;0.366633767;0.138574539
Fe;14;Cucumber_Root;7;2.087928571;2.139953448;0.808826377
Fe;14;Cucumber_Shoot;7;5.423671429;2.287902759;0.86474596
Fe;14;Maize_Root;7;1.721085714;0.466091859;0.176166164
Fe;14;Maize_Shoot;7;5.606957143;1.314841014;0.496963191
Fe;14;Tomato_Root;7;0.299657143;0.137540974;0.051985602
Fe;14;Tomato_Shoot;7;0.9473;0.348454665;0.131703484
P;0;Barley_Root;7;0.1509;0.048396487;0.018292153
P;0;Barley_Shoot;7;0.308528571;0.072089244;0.027247173
P;0;Cucumber_Root;7;0.271242857;0.071205731;0.026913237
P;0;Cucumber_Shoot;7;0.877971429;0.14172186;0.053565828
P;0;Maize_Root;7;0.380328571;0.164704541;0.062252465
P;0;Maize_Shoot;7;0.698814286;0.123652166;0.046736126
P;0;Tomato_Root;7;0.016614286;0.010332704;0.003905395
P;0;Tomato_Shoot;7;0.0908;0.040339104;0.015246748
P;1;Tomato_Root;7;0.014157143;0.002145427;0.000810895
P;1;Tomato_Shoot;7;0.146785714;0.032123171;0.012141417
P;2;Barley_Root;7;0.237685714;0.056025751;0.021175743
P;2;Barley_Shoot;7;0.485114286;0.089782374;0.033934548
P;2;Cucumber_Root;7;0.421671429;0.167564701;0.063333504
P;2;Cucumber_Shoot;7;1.182442857;0.42522748;0.16072088
P;2;Maize_Root;7;0.623085714;0.120945476;0.045713093
P;2;Maize_Shoot;7;1.660314286;0.40991594;0.154933662
P;3;Tomato_Root;7;0.047128571;0.011550139;0.004365542
P;3;Tomato_Shoot;7;0.246985714;0.04055985;0.015330182
P;4;Barley_Root;7;0.287642857;0.067466457;0.025499924
P;4;Barley_Shoot;7;0.611628571;0.110309923;0.041693232
P;4;Maize_Root;7;0.699728571;0.311183053;0.117616139
P;4;Maize_Shoot;7;2.121371429;1.135508182;0.429181752
P;5;Cucumber_Root;7;0.762028571;0.417748089;0.157893936
P;5;Cucumber_Shoot;7;1.764271429;0.476053539;0.179931325
P;7;Barley_Root;7;0.419414286;0.110584514;0.041797018
P;7;Barley_Shoot;7;0.906471429;0.178525999;0.067476485
P;7;Cucumber_Root;7;0.960457143;0.497585084;0.188069484
P;7;Cucumber_Shoot;7;2.131328571;0.427104545;0.161430344
P;7;Maize_Root;7;0.812128571;0.424526037;0.16045576
P;7;Maize_Shoot;7;2.473714286;1.116561066;0.422020415
P;7;Tomato_Root;7;0.090914286;0.039890535;0.015077205
P;7;Tomato_Shoot;7;0.352228571;0.054801482;0.020713013
P;9;Barley_Root;7;0.509271429;0.175696687;0.066407106
P;9;Barley_Shoot;7;1.227257143;0.219574071;0.082991198
P;9;Cucumber_Root;7;0.9319;0.558300713;0.211017835
P;9;Cucumber_Shoot;7;2.425142857;0.226078068;0.085449478
P;9;Maize_Root;7;0.850442857;0.408934281;0.15456263
P;9;Maize_Shoot;7;2.756971429;1.505762634;0.56912478
P;9;Tomato_Root;7;0.181771429;0.05523081;0.020875284
P;9;Tomato_Shoot;7;0.499085714;0.117879775;0.044554367
P;11;Barley_Root;7;0.507757143;0.119910826;0.045322032
P;11;Barley_Shoot;7;1.242014286;0.248631571;0.093973901
P;11;Maize_Root;7;1.047585714;0.524074977;0.198081722
P;11;Maize_Shoot;7;3.920585714;1.881315279;0.711070338
P;11;Tomato_Root;7;0.191657143;0.074836552;0.028285558
P;11;Tomato_Shoot;7;0.525285714;0.107204717;0.040519575
P;12;Cucumber_Root;7;2.440085714;1.291267645;0.488053295
P;12;Cucumber_Shoot;7;2.925214286;0.312522903;0.118122554
P;14;Barley_Root;7;1.062628571;0.29662071;0.11211209
P;14;Barley_Shoot;7;1.780528571;0.336948912;0.127354718
P;14;Cucumber_Root;7;2.199985714;1.249510018;0.472270395
P;14;Cucumber_Shoot;7;3.785757143;0.99557173;0.376290744
P;14;Maize_Root;7;1.873742857;0.844156539;0.319061182
P;14;Maize_Shoot;7;7.036528571;2.426565734;0.917155639
P;14;Tomato_Root;7;0.301185714;0.052036155;0.019667818
P;14;Tomato_Shoot;7;0.525457143;0.085492122;0.032312985
P/Fe;0;Barley_Root;7;0.163142857;0.029383718;0.011106001
P/Fe;0;Barley_Shoot;7;0.347442857;0.077296504;0.029215332
P/Fe;0;Cucumber_Root;7;0.332371429;0.070511151;0.02665071
P/Fe;0;Cucumber_Shoot;7;1.002571429;0.098851062;0.037362189
P/Fe;0;Maize_Root;7;0.375414286;0.128435346;0.048543998
P/Fe;0;Maize_Shoot;7;0.560271429;0.300730609;0.113665486
P/Fe;0;Tomato_Root;7;0.012614286;0.005550804;0.002098007
P/Fe;0;Tomato_Shoot;7;0.105357143;0.019237278;0.007271008
P/Fe;1;Tomato_Root;7;0.012142857;0.005652981;0.002136626
P/Fe;1;Tomato_Shoot;7;0.108557143;0.036580179;0.013826008
P/Fe;2;Barley_Root;7;0.236357143;0.032456682;0.012267473
P/Fe;2;Barley_Shoot;7;0.534185714;0.065173242;0.02463317
P/Fe;2;Cucumber_Root;7;0.446242857;0.120060275;0.045378518
P/Fe;2;Cucumber_Shoot;7;1.2273;0.1783633;0.067414991
P/Fe;2;Maize_Root;7;0.618214286;0.224035901;0.084677611
P/Fe;2;Maize_Shoot;7;1.459328571;0.676855681;0.255827401
P/Fe;3;Tomato_Root;7;0.036214286;0.008462944;0.003198692
P/Fe;3;Tomato_Shoot;7;0.200871429;0.041728196;0.015771776
P/Fe;4;Barley_Root;7;0.3019;0.103056004;0.038951508
P/Fe;4;Barley_Shoot;7;0.643928571;0.178698915;0.067541841
P/Fe;4;Maize_Root;7;0.651542857;0.234685555;0.088702802
P/Fe;4;Maize_Shoot;7;1.750742857;0.643313171;0.243149524
P/Fe;5;Cucumber_Root;7;0.849585714;0.415668451;0.157107907
P/Fe;5;Cucumber_Shoot;7;1.648614286;0.379475706;0.143428335
P/Fe;7;Barley_Root;7;0.3836;0.096443386;0.036452173
P/Fe;7;Barley_Shoot;7;0.887557143;0.169252847;0.063971563
P/Fe;7;Cucumber_Root;7;0.8493;0.355051203;0.134196741
P/Fe;7;Cucumber_Shoot;7;1.922271429;0.455613121;0.172205573
P/Fe;7;Maize_Root;7;0.651971429;0.41504741;0.156873176
P/Fe;7;Maize_Shoot;7;1.708514286;1.192336515;0.450660843
P/Fe;7;Tomato_Root;7;0.091342857;0.021287544;0.008045935
P/Fe;7;Tomato_Shoot;7;0.2984;0.051562131;0.019488654
P/Fe;9;Barley_Root;7;0.450728571;0.17593058;0.066495509
P/Fe;9;Barley_Shoot;7;0.985042857;0.136502526;0.051593105
P/Fe;9;Cucumber_Root;7;1.1223;0.709167484;0.268040114
P/Fe;9;Cucumber_Shoot;7;1.784071429;0.426287601;0.161121569
P/Fe;9;Maize_Root;7;1.058114286;0.299246049;0.113104375
P/Fe;9;Maize_Shoot;7;2.814;0.936371066;0.353914997
P/Fe;9;Tomato_Root;7;0.117542857;0.034660682;0.013100506
P/Fe;9;Tomato_Shoot;7;0.306171429;0.079759654;0.030146316
P/Fe;11;Barley_Root;7;0.588242857;0.162692172;0.061491861
P/Fe;11;Barley_Shoot;7;1.322885714;0.239636366;0.090574033
P/Fe;11;Maize_Root;7;1.234457143;0.657568305;0.248537458
P/Fe;11;Maize_Shoot;7;3.607185714;1.765052023;0.667126958
P/Fe;11;Tomato_Root;7;0.201828571;0.049040042;0.018535394
P/Fe;11;Tomato_Shoot;7;0.402085714;0.084760711;0.032036537
P/Fe;12;Cucumber_Root;7;1.148628571;0.640432827;0.242060856
P/Fe;12;Cucumber_Shoot;7;2.908342857;0.808782933;0.305691215
P/Fe;14;Barley_Root;7;0.898185714;0.155841666;0.058902613
P/Fe;14;Barley_Shoot;7;1.513357143;0.288277955;0.108958825
P/Fe;14;Cucumber_Root;7;2.147685714;0.719205535;0.271834141
P/Fe;14;Cucumber_Shoot;7;3.268942857;0.448251149;0.169423009
P/Fe;14;Maize_Root;7;2.302942857;0.477379496;0.180432489
P/Fe;14;Maize_Shoot;7;6.2228;1.208290393;0.456690842
P/Fe;14;Tomato_Root;7;0.231771429;0.085014091;0.032132306
P/Fe;14;Tomato_Shoot;7;0.3337;0.118785479;0.044896691
