Species;C; P; Fe; P/Fe
Cucumber;0.048;0.039;0.043;0.017
Cucumber;0.036;0.021;0.056;0.022
Cucumber;0.057;0.026;0.053;0.028
Cucumber;0.032;0.029;0.052;0.025
Cucumber;0.044;0.017;0.044;0.031
Cucumber;0.063;0.027;0.047;0.037
Cucumber;0.038;0.023;0.039;0.034
Cucumber;0.043;0.035;0.077;0.049
Cucumber;0.04;0.026;0.069;0.037
Cucumber;0.065;0.041;0.063;0.037
Cucumber;0.05;0.026;0.079;0.026
Cucumber;0.049;0.035;0.08;0.045
Cucumber;0.048;0.027;0.097;0.057
Cucumber;0.055;0.024;0.082;0.035
Barley;0.035;0.051;0.047;0.071
Barley;0.028;0.057;0.091;0.053
Barley;0.034;0.058;0.093;0.054
Barley;0.023;0.058;0.093;0.068
Barley;0.037;0.06;0.096;0.069
Barley;0.033;0.08;0.128;0.063
Barley;0.025;0.07;0.112;0.047
Barley;0.033;0.064;0.103;0.046
Barley;0.045;0.079;0.126;0.033
Barley;0.06;0.062;0.099;0.048
Barley;0.026;0.06;0.097;0.062
Barley;0.046;0.072;0.115;0.04
Barley;0.021;0.039;0.063;0.018
Barley;0.026;0.045;0.072;0.054
Barley;0.04;0.075;0.12;0.03
Barley;0.038;0.065;0.103;0.057
Barley;0.032;0.067;0.108;0.046
Barley;0.038;0.086;0.138;0.026
Barley;0.044;0.074;0.118;0.039
Barley;0.058;0.091;0.146;0.04
Maize;0.007;0.011;0.01;0.007
Maize;0.007;0.006;0.007;0.004
Maize;0.009;0.009;0.017;0.011
Maize;0.012;0.012;0.033;0.025
Maize;0.019;0.011;0.01;0.017
Maize;0.017;0.009;0.01;0.018
Maize;0.019;0.015;0.011;0.032
Maize;0.01;0.015;0.007;0.007
Maize;0.01;0.018;0.004;0.007
Maize;0.013;0.015;0.004;0.004
Maize;0.01;0.015;0.018;0.018
Maize;0.011;0.016;0.004;0.021
Maize;0.016;0.015;0.004;
Maize;0.018;0.025;0.007;
Maize;0.022;0.01;;
Maize;0.016;0.016;;
Tomato;0.015;0.008;0.006;0.015
Tomato;0.021;0.003;0.012;0.007
Tomato;0.021;0.008;0.014;0.004
Tomato;0.022;0.007;0.013;0.002
Tomato;0.017;0.005;0.012;0.003
Tomato;0.017;0.004;0.012;0.008
Tomato;0.019;0.003;0.015;0.009
Tomato;0.02;0.003;0.014;0.006
Tomato;0.017;0.012;0.015;0.009
Tomato;0.016;0.007;0.015;0.004
Tomato;0.017;0.002;0.016;0.007
Tomato;0.015;0.002;0.016;0.004
Tomato;0.014;0.003;0.019;0.008
Tomato;0.017;0.009;0.016;0.001
Tomato;0.015;0.004;0.021;0.008
Tomato;0.015;0.004;0.01;0.007
Tomato;0.014;0.004;0.011;0.004
Tomato;0.01;0.004;0.014;0.004
Tomato;0.014;0.003;0.014;0.006
Tomato;0.016;0.004;0.015;0.004
Tomato;0.013;0.003;0.014;
Tomato;0.012;0.003;0.014;
Tomato;;0.004;;
